,hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,age,country,gender,marital,parenthood
69,42914,657,24h,I went to the gym and had a good workout and the weather was perfect.,I went to the gym and had a good workout and the weather was perfect.,True,1,,exercise,29,USA,m,single,n
70,82658,657,3m,I went to the gym for the first time in a long time.,I went to the gym for the first time in a long time.,True,1,,exercise,29,USA,m,single,n
71,88413,657,3m,I went to the gym and had a good workout.,I went to the gym and had a good workout.,True,1,,exercise,29,USA,m,single,n
72,117666,657,24h,I started a new workout plan which went well today.,I started a new workout plan which went well today.,True,1,,exercise,29,USA,m,single,n
73,28794,9964,24h,I had a great workout this morning.,I had a great workout this morning.,True,1,,exercise,36.0,USA,f,married,y
74,28803,1729,24h,When I was able to have a good workout with my past teammates.,When I was able to have a good workout with my past teammates.,True,1,,exercise,22,USA,m,single,n
75,28873,452,24h,I had a great workout on a treadmill this morning at the gym.,I had a great workout on a treadmill this morning at the gym.,True,1,,exercise,52,USA,m,married,y
76,95006,452,3m,I swam a mile in 40 minutes,I swam a mile in 40 minutes,True,1,,exercise,52,USA,m,married,y
77,28937,140,24h,I went for a run with my dog in the morning. Felt pretty energized for work after it,I went for a run with my dog in the morning. Felt pretty energized for work after it,True,2,,exercise,33,PRT,m,married,n
78,28947,519,24h,My boyfriend brought my gym clothes to me so that I could go the the gym right after work. ,My boyfriend brought my gym clothes to me so that I could go the the gym right after work. ,True,1,,exercise,32.0,USA,f,single,n
79,29004,13024,24h,I went to the gym and completed a two hour long workout.,I went to the gym and completed a two hour long workout.,True,1,,exercise,21.0,USA,f,single,n
80,29007,668,24h,I had a good session at the gym. I was energetic afterwards.,I had a good session at the gym. I was energetic afterwards.,True,2,,exercise,36,USA,m,single,n
81,29016,13464,24h,I exercised on my exercise bike.,I exercised on my exercise bike.,True,1,,exercise,31.0,USA,m,single,n
82,29052,1306,24h,I went to the gym for the first time in 6 months.,I went to the gym for the first time in 6 months.,True,1,,exercise,28,USA,m,single,n
83,49476,1306,24h,"I went to the gym and got a crazy muscle pump, I felt amazing after.","I went to the gym and got a crazy muscle pump, I felt amazing after.",True,1,exercise,exercise,28,USA,m,single,n
84,29090,2910,24h,I ran quite a long distance with good weather.,I ran quite a long distance with good weather.,True,1,exercise,exercise,19,ITA,m,single,n
85,29134,473,24h,I woke up early this morning on time to do yoga and actually did it.,I woke up early this morning on time to do yoga and actually did it.,True,1,,exercise,37.0,USA,f,single,y
86,47865,473,24h,I got to the gym early and was able to get a pretty decent workout,I got to the gym early and was able to get a pretty decent workout,True,1,,exercise,37.0,USA,f,single,y
87,29183,3736,24h,I met my goal of going to the gym twice this week.,I met my goal of going to the gym twice this week.,True,1,,exercise,30.0,USA,m,married,n
88,48272,3736,24h,I went for a jog in the evening and enjoyed the nice weather.,I went for a jog in the evening and enjoyed the nice weather.,True,1,exercise,exercise,30.0,USA,m,married,n
89,29190,267,24h,Going for a run at the gym.,Going for a run at the gym.,True,1,,exercise,29,USA,m,married,n
90,39966,267,24h,Going for a run,Going for a run,True,1,,exercise,29,USA,m,married,n
91,56252,267,24h,Going for a run at the gym,Going for a run at the gym,True,1,,exercise,29,USA,m,married,n
92,67943,267,3m,Going for a run near the beach.,Going for a run near the beach.,True,1,exercise,exercise,29,USA,m,married,n
93,29201,332,24h,I completed a goal that I set for myself at the gym and it pumped me up for tomorrow. ,I completed a goal that I set for myself at the gym and it pumped me up for tomorrow. ,True,1,exercise,exercise,31,USA,m,married,y
94,29217,2091,24h,It felt good to hit the gym and then come home and notice that I'd been making results.,It felt good to hit the gym and then come home and notice that I'd been making results.,True,1,,exercise,18.0,USA,m,single,y
95,34552,2091,24h,"I had a great workout yesterday! It took longer than normal, but I felt great afterward.","I had a great workout yesterday! It took longer than normal, but I felt great afterward.",True,2,,exercise,18.0,USA,m,single,y
96,29307,10459,24h,I was able to go to the gym.,I was able to go to the gym.,True,1,,exercise,26.0,USA,m,single,n
97,29326,4267,24h,Walking outside exercising,Walking outside exercising,True,1,,exercise,25,USA,m,single,n
98,29344,13097,24h,I went to the gym and rowed.,I went to the gym and rowed.,True,1,,exercise,20.0,USA,f,single,n
99,29384,129,24h,I went running,I went running,True,1,,exercise,25,USA,m,single,n
100,30778,129,24h,I have been running a lot more ,I have been running a lot more ,True,1,,exercise,25,USA,m,single,n
101,52979,129,24h,I went for a jog,I went for a jog,True,1,,exercise,25,USA,m,single,n
102,64290,129,3m,I went for a run earlier,I went for a run earlier,True,1,,exercise,25,USA,m,single,n
103,29409,1692,24h,I motivated myself to workout for the first time in awhile. ,I motivated myself to workout for the first time in awhile. ,True,1,,exercise,23.0,USA,f,single,n
104,81565,1692,3m,Something that made me happy was attending a yoga class. ,Something that made me happy was attending a yoga class. ,True,1,,exercise,23.0,USA,f,single,n
105,29476,298,24h,My run went well this morning. I had a good time and I saw deer in the park.,My run went well this morning. I had a good time and I saw deer in the park.,True,2,,exercise,26.0,USA,f,single,n
106,34699,298,24h,I ran four miles this morning with a good time.,I ran four miles this morning with a good time.,True,1,,exercise,26.0,USA,f,single,n
107,29483,2797,24h,I went out for a long walk,I went out for a long walk,True,1,,exercise,53,GBR,m,married,y
108,29492,659,24h,I went for a run around the block.,I went for a run around the block.,True,1,,exercise,30,USA,f,single,y
109,95302,659,3m,I ran around the track for a mile.,I ran around the track for a mile.,True,1,,exercise,30,USA,f,single,y
110,108457,659,3m,Going for a run.,Going for a run.,True,1,,exercise,30,USA,f,single,y
111,29548,568,24h,i went to the gym ,i went to the gym ,True,1,,exercise,25,USA,m,single,y
112,30960,568,24h,going to the gym,going to the gym,True,1,,exercise,25,USA,m,single,y
113,29679,185,24h,I ran on the treadmill for an entire hour and didn't feel winded or overly exhausted.,I ran on the treadmill for an entire hour and didn't feel winded or overly exhausted.,True,1,,exercise,36,USA,m,single,n
114,103804,185,3m,I went for a long run around a lake in a nice city park early in the morning.,I went for a long run around a lake in a nice city park early in the morning.,True,1,exercise,exercise,36,USA,m,single,n
115,107856,185,3m,I decided to join a gym and use a personal trainer.,I decided to join a gym and use a personal trainer.,True,1,exercise,exercise,36,USA,m,single,n
116,29691,1699,24h,I actually had time today to do a workout for 30 minutes.,I actually had time today to do a workout for 30 minutes.,True,1,,exercise,38.0,USA,f,single,y
117,29798,10,24h,I went to the gym almost everyday this month. My goal is to go at least 5 times a week and spend at least 40 minutes lifting weights or doing cardio. I feel great when I achieve my goal.,I went to the gym almost everyday this month. My goal is to go at least 5 times a week and spend at least 40 minutes lifting weights or doing cardio. I feel great when I achieve my goal.,True,3,,exercise,27,USA,m,single,n
118,51514,10,24h,"I went to the gym and did a lot of weight lifting, I felt tired but great afterwards.","I went to the gym and did a lot of weight lifting, I felt tired but great afterwards.",True,1,,exercise,27,USA,m,single,n
119,54031,10,24h,I went swimming after working out at the gym.,I went swimming after working out at the gym.,True,1,exercise,exercise,27,USA,m,single,n
120,70184,10,3m,I went to the gym and sat in the sauna for 30 minutes.,I went to the gym and sat in the sauna for 30 minutes.,True,1,,exercise,27,USA,m,single,n
121,87307,10,3m,I went to the gym and worked out my shoulders and arms. It had been a good week since I focused on shoulders and it felt great.,I went to the gym and worked out my shoulders and arms. It had been a good week since I focused on shoulders and it felt great.,True,2,,exercise,27,USA,m,single,n
122,107479,10,3m,I took a yoga class from a really good instructor for the first time. I have always enjoyed doing yoga on my own and this instructor was amazing.,I took a yoga class from a really good instructor for the first time. I have always enjoyed doing yoga on my own and this instructor was amazing.,True,2,,exercise,27,USA,m,single,n
123,30844,1381,24h,"When my thighs started to shrink from a low protein diet. I ate low carb and worked out hard 7 days a week 2 hours a day. I ended up super skinny except with a big butt and thighs (athletic). I look funny though because I am extremely, extremely thin on top and a size 6 or 8 on the bottom.","When my thighs started to shrink from a low protein diet. I ate low carb and worked out hard 7 days a week 2 hours a day. I ended up super skinny except with a big butt and thighs (athletic). I look funny though because I am extremely, extremely thin on top and a size 6 or 8 on the bottom.",True,4,exercise,exercise,39.0,USA,f,married,y
124,112345,1381,24h,I went to the gym and had a really good workout.,I went to the gym and had a really good workout.,True,1,,exercise,39.0,USA,f,married,y
125,30893,950,24h,I was able to run 9 miles without stopping even though I hadn't run all winter.,I was able to run 9 miles without stopping even though I hadn't run all winter.,True,1,,exercise,25,GBR,f,single,n
126,69285,950,3m,I set a new PR at the gym,I set a new PR at the gym,True,1,,exercise,25,GBR,f,single,n
127,31290,5441,24h,2.  I completed a 4 miles run in a time that was my personal best.,2.  I completed a 4 miles run in a time that was my personal best.,True,2,,exercise,50,USA,f,single,n
128,31440,975,24h,i went to a yoga camp conducted by an organisation and the place where it conducted itself provides a refreshing feeling and after the yoga session felt very happy some newness,i went to a yoga camp conducted by an organisation and the place where it conducted itself provides a refreshing feeling and after the yoga session felt very happy some newness,True,1,,exercise,29,IND,f,married,y
129,31847,11,24h,"I did some vigorous exercise today, which recharged me. ","I did some vigorous exercise today, which recharged me. ",True,1,,exercise,45.0,USA,m,divorced,n
130,52070,11,24h,I had a good workout.,I had a good workout.,True,1,exercise,exercise,45.0,USA,m,divorced,n
131,58366,11,3m,"I did three sets of chin-ups today, and felt pretty good. ","I did three sets of chin-ups today, and felt pretty good. ",True,1,,exercise,45.0,USA,m,divorced,n
132,114319,11,24h,"My muscles were sore from a workout two days ago, but they feel much better now. ","My muscles were sore from a workout two days ago, but they feel much better now. ",True,1,,exercise,45.0,USA,m,divorced,n
133,117392,11,24h,"My sore muscles from a workout two days ago aren't bothering me anymore, and so I was able to get in a good exercise again. ","My sore muscles from a workout two days ago aren't bothering me anymore, and so I was able to get in a good exercise again. ",True,1,,exercise,45.0,USA,m,divorced,n
134,119020,11,24h,I managed to squeeze in a good workout between work tasks. ,I managed to squeeze in a good workout between work tasks. ,True,1,exercise,exercise,45.0,USA,m,divorced,n
135,31896,1005,24h,I had a great day at the climbing gym and really toasted all of my muscles.,I had a great day at the climbing gym and really toasted all of my muscles.,True,1,,exercise,27,USA,f,single,n
136,41736,1005,24h,I went on a nice run outside.,I went on a nice run outside.,True,1,,exercise,27,USA,f,single,n
137,81774,1005,3m,I got in a great day of climbing at the rock gym and finished a new route.,I got in a great day of climbing at the rock gym and finished a new route.,True,1,,exercise,27,USA,f,single,n
138,98757,1005,3m,I had a great run.,I had a great run.,True,1,,exercise,27,USA,f,single,n
139,32195,98,24h,The fact that I have found time to start exercising again on a frequent basis. ,The fact that I have found time to start exercising again on a frequent basis. ,True,1,,exercise,34.0,USA,m,married,y
140,102822,98,3m,Getting my old truck to run after a long time of sitting in the driveway.,Getting my old truck to run after a long time of sitting in the driveway.,True,1,,exercise,34.0,USA,m,married,y
141,32306,1351,24h,I finally completed 100 push-ups and 70 squat-ups.,I finally completed 100 push-ups and 70 squat-ups.,True,1,,exercise,24,USA,m,single,n
142,65564,1351,3m,I finally completed 60 push-ups and 80 squat-ups,I finally completed 60 push-ups and 80 squat-ups,True,1,,exercise,24,USA,m,single,n
143,73129,1351,3m,I finally completed 60 push-ups and 80 squat-ups.,I finally completed 60 push-ups and 80 squat-ups.,True,1,,exercise,24,USA,m,single,n
144,77787,1351,3m,I finally completed 70 push-ups and 100 squat-ups.,I finally completed 70 push-ups and 100 squat-ups.,True,1,exercise,exercise,24,USA,m,single,n
145,90898,1351,3m,I finally completed 50 push-ups and 70 squat-ups.,I finally completed 50 push-ups and 70 squat-ups.,True,1,,exercise,24,USA,m,single,n
146,94141,1351,3m,I finally completed 70 push-ups and 80 squat-ups.,I finally completed 70 push-ups and 80 squat-ups.,True,1,,exercise,24,USA,m,single,n
147,32392,2151,24h,I got up this morning a went for a 3 mile run outside.,I got up this morning a went for a 3 mile run outside.,True,1,,exercise,50,USA,f,married,y
148,58838,2151,3m,I joined a new gym,I joined a new gym,True,1,,exercise,50,USA,f,married,y
149,32468,5025,24h,When I actually got up and did a full exercise routine this morning.,When I actually got up and did a full exercise routine this morning.,True,1,,exercise,27,USA,f,married,y
150,32966,10712,24h,I was happy when I completed my Yoga workout last night.,I was happy when I completed my Yoga workout last night.,True,1,,exercise,28.0,USA,f,single,n
151,33009,4,24h,I was able to get my workout in on a very busy day,I was able to get my workout in on a very busy day,True,1,,exercise,32,USA,m,married,y
152,33054,86,24h,I was able to go to the gym even though I was tired and I felt it was a victory. ,I was able to go to the gym even though I was tired and I felt it was a victory. ,True,1,,exercise,27,USA,m,single,n
153,34189,86,24h,I got up real early in the morning and didn't feel tired for a change and went and worked out. ,I got up real early in the morning and didn't feel tired for a change and went and worked out. ,True,1,,exercise,27,USA,m,single,n
154,39379,86,24h,I had a great workout at the gym. ,I had a great workout at the gym. ,True,1,,exercise,27,USA,m,single,n
155,50663,86,24h,I had a great workout even though I was hesitant to go. ,I had a great workout even though I was hesitant to go. ,True,1,,exercise,27,USA,m,single,n
156,54641,86,24h,I had a great workout at the gym. ,I had a great workout at the gym. ,True,1,,exercise,27,USA,m,single,n
157,69737,86,3m,I had a beautiful morning filled with a great workout and prayer session. ,I had a beautiful morning filled with a great workout and prayer session. ,True,1,,exercise,27,USA,m,single,n
158,75892,86,3m,I got up real early and went and had a great workout. ,I got up real early and went and had a great workout. ,True,1,,exercise,27,USA,m,single,n
159,118838,86,24h,I got up very early and got my workout in. ,I got up very early and got my workout in. ,True,1,,exercise,27,USA,m,single,n
160,126131,86,24h,I prayed in the morning and had a great workout before 6AM,I prayed in the morning and had a great workout before 6AM,True,1,,exercise,27,USA,m,single,n
161,33434,746,24h,I went on a long and successful run,I went on a long and successful run,True,1,,exercise,25.0,USA,m,single,n
162,46489,746,24h,Going to the gym made me happy,Going to the gym made me happy,True,1,,exercise,25.0,USA,m,single,n
163,53768,746,24h,I had a very positive and hard workout,I had a very positive and hard workout,True,1,,exercise,25.0,USA,m,single,n
164,33477,91,24h,Getting in a really big workout.,Getting in a really big workout.,True,1,,exercise,29,USA,m,single,n
165,47939,91,24h,Getting a great workout in.,Getting a great workout in.,True,1,,exercise,29,USA,m,single,n
166,33502,251,24h,Morning jogging .,Morning jogging .,True,1,,exercise,22,USA,m,single,n
167,46814,251,24h,going to jogging in the morning with my pet,going to jogging in the morning with my pet,True,1,exercise,exercise,22,USA,m,single,n
168,77456,251,3m,going to yoga training session  ,going to yoga training session  ,True,1,exercise,exercise,22,USA,m,single,n
169,33621,1679,24h,Getting to do yoga unexpectedly. ,Getting to do yoga unexpectedly. ,True,1,exercise,exercise,21,USA,f,single,n
170,38340,1679,24h,Feeling myself get stronger at yoga today because I've been doing it more often lately. ,Feeling myself get stronger at yoga today because I've been doing it more often lately. ,True,1,,exercise,21,USA,f,single,n
171,60136,1679,3m,My yoga teacher massaging my face after a particularly difficult yoga class,My yoga teacher massaging my face after a particularly difficult yoga class,True,1,,exercise,21,USA,f,single,n
172,33778,7743,24h,I worked out for an hour.,I worked out for an hour.,True,1,exercise,exercise,42,USA,f,single,n
173,33792,1397,24h,Today I went to the gym with someone I'd never been to the gym with before. We had fun working out together.,Today I went to the gym with someone I'd never been to the gym with before. We had fun working out together.,True,2,,exercise,22,USA,m,single,n
174,42472,1397,24h,I did my longest run yet 25 minutes.,I did my longest run yet 25 minutes.,True,1,,exercise,22,USA,m,single,n
175,33958,57,24h,I remember that I was finally able to exercise at a gym. ,I remember that I was finally able to exercise at a gym. ,True,1,exercise,exercise,34,USA,m,single,n
176,118274,57,24h,I was happy when I just exercised at the gym 3 hours ago. ,I was happy when I just exercised at the gym 3 hours ago. ,True,1,,exercise,34,USA,m,single,n
177,33989,182,24h,I WENT TO YOGA,I WENT TO YOGA,True,1,,exercise,28,IND,m,married,n
178,65261,182,3m,The day I went to Yoga and Meditation for the relief of stress and mind tension.,The day I went to Yoga and Meditation for the relief of stress and mind tension.,True,1,,exercise,28,IND,m,married,n
179,102882,182,3m,I WENT TO RAN.,I WENT TO RAN.,True,1,,exercise,28,IND,m,married,n
180,34085,418,24h,I meditated and was able to focus on my breathing.,I meditated and was able to focus on my breathing.,True,1,exercise,exercise,36,USA,m,married,n
181,34121,450,24h,Yesterday I was able to do 25 minutes of cardio.,Yesterday I was able to do 25 minutes of cardio.,True,1,exercise,exercise,39,USA,m,married,n
182,43032,450,24h,"Yesterday, I woke up and went to the gym to exercise.","Yesterday, I woke up and went to the gym to exercise.",True,1,,exercise,39,USA,m,married,n
183,44322,450,24h,Last night I was able to walk a mile with little to no fatigue.,Last night I was able to walk a mile with little to no fatigue.,True,1,exercise,exercise,39,USA,m,married,n
184,47002,450,24h,I was able to walk 1.37 miles with little to no fatigue.,I was able to walk 1.37 miles with little to no fatigue.,True,1,,exercise,39,USA,m,married,n
185,47801,450,24h,I lifted more weight on my bicep workout then I ever had before.,I lifted more weight on my bicep workout then I ever had before.,True,1,,exercise,39,USA,m,married,n
186,74623,450,3m,Yesterday I was able to walk 3 miles with little tiring.,Yesterday I was able to walk 3 miles with little tiring.,True,1,,exercise,39,USA,m,married,n
187,34228,2613,24h,I started the day yesterday morning by warming up with an exercise routine called Classical Stretch. I'd been sick for over a week and this was the first morning I felt energized enough to exercise. Felt very good and I felt happy.,I started the day yesterday morning by warming up with an exercise routine called Classical Stretch. I'd been sick for over a week and this was the first morning I felt energized enough to exercise. Felt very good and I felt happy.,True,3,,exercise,51,USA,f,divorced,y
188,34351,597,24h,"I was able to go to the gym for the first time in a while yesterday, which always makes me feel happy.","I was able to go to the gym for the first time in a while yesterday, which always makes me feel happy.",True,1,,exercise,24,USA,m,married,y
